Model,Accuracy,Precision,Recall,F1,ROC_AUC
XGBoost,0.9882506527415144,0.9754098360655737,0.952,0.9635627530364372,0.9865709828393137
XGBoost (Tuned),0.9882506527415144,1.0,0.928,0.9626556016597511,0.9844992199687987
Random Forest,0.97911227154047,0.9504132231404959,0.92,0.9349593495934959,0.9872324492979719
Random Forest (Tuned),0.97911227154047,0.9658119658119658,0.904,0.9338842975206612,0.9894664586583464
Decision Tree,0.9751958224543081,0.9140625,0.936,0.924901185770751,0.9594196567862715
Gradient Boosting,0.8825065274151436,0.5945945945945946,0.88,0.7096774193548387,0.9442995319812791
Logistic Regression,0.7571801566579635,0.3784860557768924,0.76,0.5053191489361702,0.8329734789391575
